left enc cnt, left enc delta, left pid setpt, left pid out, right enc cnt, right enc delta, right pid setpt, right pid out
502, 18, 18.140, 151.999, 503, 19, 18.140, 126.999
520, 18, 18.140, 153.399, 521, 18, 18.140, 143.399
538, 18, 18.140, 154.799, 539, 18, 18.140, 144.799
556, 18, 18.140, 156.199, 557, 18, 18.140, 146.199
575, 19, 18.140, 132.599, 574, 17, 18.140, 172.599
593, 18, 18.140, 148.999, 593, 19, 18.140, 133.999
611, 18, 18.140, 150.399, 611, 18, 18.140, 150.399
630, 19, 18.140, 126.799, 630, 19, 18.140, 126.799
648, 18, 18.140, 143.199, 648, 18, 18.140, 143.199
665, 17, 18.140, 169.599, 666, 18, 18.140, 144.599
684, 19, 18.140, 130.999, 684, 18, 18.140, 145.999
702, 18, 18.140, 147.399, 702, 18, 18.140, 147.399
720, 18, 18.140, 148.799, 719, 17, 18.140, 173.799
738, 18, 18.140, 150.199, 737, 18, 18.140, 160.199
756, 18, 18.140, 151.599, 756, 19, 18.140, 136.599
775, 19, 18.140, 127.999, 775, 19, 18.140, 127.999
793, 18, 18.140, 144.399, 793, 18, 18.140, 144.399
811, 18, 18.140, 145.799, 811, 18, 18.140, 145.799
829, 18, 18.140, 147.199, 829, 18, 18.140, 147.199
847, 18, 18.140, 148.599, 847, 18, 18.140, 148.599
865, 18, 18.140, 149.999, 866, 19, 18.140, 124.999
883, 18, 18.140, 151.399, 884, 18, 18.140, 141.399
901, 18, 18.140, 152.799, 902, 18, 18.140, 142.799
920, 19, 18.140, 129.199, 920, 18, 18.140, 144.199
938, 18, 18.140, 145.599, 938, 18, 18.140, 145.599
956, 18, 18.140, 146.999, 956, 18, 18.140, 146.999
974, 18, 18.140, 148.399, 974, 18, 18.140, 148.399
992, 18, 18.140, 149.799, 991, 17, 18.140, 174.799
1010, 18, 18.140, 151.199, 1010, 19, 18.140, 136.199
1028, 18, 18.140, 152.599, 1028, 18, 18.140, 152.599
1046, 18, 18.140, 153.999, 1047, 19, 18.140, 128.999
1064, 18, 18.140, 155.399, 1065, 18, 18.140, 145.399
1083, 19, 18.140, 131.799, 1084, 19, 18.140, 121.799
1101, 18, 18.140, 148.199, 1102, 18, 18.140, 138.199
1119, 18, 18.140, 149.599, 1120, 17, 18.140, 164.599
1137, 18, 18.140, 150.999, 1138, 19, 18.140, 125.999
1156, 19, 18.140, 127.399, 1156, 18, 18.140, 142.399
1174, 18, 18.140, 143.799, 1174, 18, 18.140, 143.799
1192, 18, 18.140, 145.199, 1192, 18, 18.140, 145.199
1209, 17, 18.140, 171.599, 1210, 18, 18.140, 146.599
1228, 19, 18.140, 132.999, 1228, 18, 18.140, 147.999
1246, 18, 18.140, 149.399, 1246, 18, 18.140, 149.399
1264, 18, 18.140, 150.799, 1265, 19, 18.140, 125.799
1283, 19, 18.140, 127.199, 1283, 18, 18.140, 142.199
1301, 18, 18.140, 143.599, 1301, 18, 18.140, 143.599
1318, 17, 18.140, 169.999, 1320, 19, 18.140, 119.999
1336, 18, 18.140, 156.399, 1338, 18, 18.140, 136.399
1355, 19, 18.140, 132.799, 1356, 18, 18.140, 137.799
1373, 18, 18.140, 149.199, 1374, 18, 18.140, 139.199
1391, 18, 18.140, 150.599, 1391, 17, 18.140, 165.599
1408, 17, 18.140, 176.999, 1410, 19, 18.140, 126.999
1426, 18, 18.140, 163.399, 1428, 18, 18.140, 143.399
1445, 19, 18.140, 139.799, 1446, 18, 18.140, 144.799
1463, 18, 18.140, 156.199, 1464, 18, 18.140, 146.199
1481, 18, 18.140, 157.599, 1482, 18, 18.140, 147.599
1498, 17, 18.140, 183.999, 1500, 18, 18.140, 148.999
1516, 18, 18.140, 170.399, 1519, 19, 18.140, 125.399
1535, 19, 18.140, 146.799, 1537, 18, 18.140, 141.799
1554, 19, 18.140, 138.199, 1555, 18, 18.140, 143.199
1572, 18, 18.140, 154.599, 1573, 18, 18.140, 144.599
1590, 18, 18.140, 155.999, 1591, 17, 18.140, 170.999
1608, 18, 18.140, 157.399, 1609, 19, 18.140, 132.399
1625, 17, 18.140, 183.799, 1627, 18, 18.140, 148.799
1644, 18, 18.140, 170.199, 1645, 18, 18.140, 150.199
1662, 19, 18.140, 146.599, 1664, 19, 18.140, 126.599
1681, 19, 18.140, 137.999, 1682, 18, 18.140, 142.999
1699, 18, 18.140, 154.399, 1700, 18, 18.140, 144.399
1717, 18, 18.140, 155.799, 1718, 18, 18.140, 145.799
1734, 17, 18.140, 182.199, 1736, 18, 18.140, 147.199
1752, 18, 18.140, 168.599, 1755, 19, 18.140, 123.599
1770, 18, 18.140, 169.999, 1773, 18, 18.140, 139.999
1789, 19, 18.140, 146.399, 1791, 18, 18.140, 141.399
1807, 18, 18.140, 162.799, 1809, 18, 18.140, 142.799
1825, 18, 18.140, 164.199, 1827, 18, 18.140, 144.199
1844, 19, 18.140, 140.599, 1845, 18, 18.140, 145.599
1862, 18, 18.140, 156.999, 1864, 19, 18.140, 121.999
1880, 18, 18.140, 158.399, 1882, 18, 18.140, 138.399
1897, 17, 18.140, 184.799, 1900, 18, 18.140, 139.799
1915, 18, 18.140, 171.199, 1918, 18, 18.140, 141.199
1933, 18, 18.140, 172.599, 1936, 18, 18.140, 142.599
1952, 19, 18.140, 148.999, 1954, 18, 18.140, 143.999
1970, 18, 18.140, 165.399, 1973, 19, 18.140, 120.399
1988, 18, 18.140, 166.799, 1991, 18, 18.140, 136.799
2006, 18, 18.140, 168.199, 2008, 17, 18.140, 163.199
2025, 19, 18.140, 144.599, 2026, 18, 18.140, 149.599
2043, 18, 18.140, 160.999, 2045, 19, 18.140, 125.999
2060, 17, 18.140, 187.399, 2063, 18, 18.140, 142.399
2078, 18, 18.140, 173.799, 2081, 18, 18.140, 143.799
2097, 19, 18.140, 150.199, 2099, 17, 18.140, 170.199
2115, 18, 18.140, 166.599, 2117, 19, 18.140, 131.599
2133, 18, 18.140, 167.999, 2135, 18, 18.140, 147.999
2151, 18, 18.140, 169.399, 2154, 18, 18.140, 149.399
2169, 18, 18.140, 170.799, 2172, 19, 18.140, 125.799
2188, 19, 18.140, 147.199, 2190, 18, 18.140, 142.199
2207, 19, 18.140, 138.599, 2207, 17, 18.140, 168.599
2225, 18, 18.140, 154.999, 2225, 18, 18.140, 154.999
2242, 17, 18.140, 181.399, 2244, 18, 18.140, 156.399
2260, 18, 18.140, 167.799, 2262, 19, 18.140, 132.799
2279, 19, 18.140, 144.199, 2280, 18, 18.140, 149.199
2298, 19, 18.140, 135.599, 2298, 18, 18.140, 150.599
2316, 18, 18.140, 151.999, 2315, 17, 18.140, 176.999
2334, 18, 18.140, 153.399, 2333, 18, 18.140, 163.399
2352, 18, 18.140, 154.799, 2352, 18, 18.140, 164.799
2370, 18, 18.140, 156.199, 2370, 19, 18.140, 141.199
2388, 18, 18.140, 157.599, 2388, 18, 18.140, 157.599
2406, 18, 18.140, 158.999, 2405, 17, 18.140, 183.999
2424, 18, 18.140, 160.399, 2423, 18, 18.140, 170.399
2442, 18, 18.140, 161.799, 2441, 18, 18.140, 171.799
2461, 19, 18.140, 138.199, 2460, 19, 18.140, 148.199
2479, 18, 18.140, 154.599, 2479, 19, 18.140, 139.599
2498, 19, 18.140, 130.999, 2497, 18, 18.140, 155.999
2516, 18, 18.140, 147.399, 2515, 18, 18.140, 157.399
2534, 18, 18.140, 148.799, 2533, 18, 18.140, 158.799
2553, 19, 18.140, 125.199, 2551, 18, 18.140, 160.199
2571, 18, 18.140, 141.599, 2569, 18, 18.140, 161.599
2588, 17, 18.140, 167.999, 2587, 18, 18.140, 162.999
2607, 19, 18.140, 129.399, 2605, 18, 18.140, 164.399
2625, 18, 18.140, 145.799, 2624, 19, 18.140, 140.799
2643, 18, 14.511, 110.919, 2642, 18, 14.511, 120.919
2661, 18, 10.883, 39.759, 2660, 18, 10.883, 49.759
2678, 17, 7.255, 0.0, 2677, 17, 7.255, 0.0
2693, 15, 3.627, 0.0, 2692, 15, 3.627, 0.0
