left enc cnt, left enc delta, left pid setpt, left pid out, right enc cnt, right enc delta, right pid setpt, right pid out
0, 0, 3.627, 36.280, 0, 0, 3.627, 36.280
0, 0, 7.255, 108.840, 0, 0, 7.255, 108.840
1, 1, 10.883, 192.680, 1, 1, 10.883, 192.680
6, 5, 14.511, 227.799, 5, 4, 14.511, 252.799
17, 11, 18.140, 209.199, 18, 13, 18.140, 169.199
33, 16, 18.140, 155.599, 36, 18, 18.140, 95.599
50, 17, 18.140, 151.999, 54, 18, 18.140, 96.999
67, 17, 18.140, 163.399, 71, 17, 18.140, 123.399
85, 18, 18.140, 149.799, 87, 16, 18.140, 159.799
103, 18, 18.140, 151.199, 104, 17, 18.140, 156.199
120, 17, 18.140, 177.599, 121, 17, 18.140, 167.599
139, 19, 18.140, 138.999, 138, 17, 18.140, 178.999
158, 19, 18.140, 130.399, 155, 17, 18.140, 190.399
176, 18, 18.140, 146.799, 174, 19, 18.140, 151.799
194, 18, 18.140, 148.199, 193, 19, 18.140, 143.199
212, 18, 18.140, 149.599, 212, 19, 18.140, 134.599
230, 18, 18.140, 150.999, 230, 18, 18.140, 150.999
248, 18, 18.140, 152.399, 249, 19, 18.140, 127.399
267, 19, 18.140, 128.799, 267, 18, 18.140, 143.799
284, 17, 18.140, 170.199, 285, 18, 18.140, 145.199
302, 18, 18.140, 156.599, 303, 18, 18.140, 146.599
321, 19, 18.140, 132.999, 320, 17, 18.140, 172.999
339, 18, 18.140, 149.399, 338, 18, 18.140, 159.399
358, 19, 18.140, 125.799, 357, 19, 18.140, 135.799
376, 18, 18.140, 142.199, 375, 18, 18.140, 152.199
394, 18, 18.140, 143.599, 393, 18, 18.140, 153.599
412, 18, 18.140, 144.999, 412, 19, 18.140, 129.999
430, 18, 18.140, 146.399, 430, 18, 18.140, 146.399
448, 18, 18.140, 147.799, 448, 18, 18.140, 147.799
466, 18, 18.140, 149.199, 466, 18, 18.140, 149.199
484, 18, 18.140, 150.599, 484, 18, 18.140, 150.599
