left enc delta, left pid out, right enc delta, right enc out
0, 55.0, 0, 55.0
0, 165.0, 1, 140.0
3, 200.0, 1, 240.0
7, 180.0, 9, 140.0
11, 120.0, 16, 0.0
12, 95.0, 14, 0.0
12, 85.0, 13, 0.0
11, 100.0, 10, 55.0
11, 100.0, 10, 65.0
11, 100.0, 9, 100.0
10, 125.0, 8, 145.0
11, 110.0, 9, 150.0
11, 110.0, 11, 120.0
11, 110.0, 11, 120.0
11, 110.0, 12, 95.0
11, 110.0, 12, 85.0
11, 110.0, 11, 100.0
11, 110.0, 10, 125.0
11, 110.0, 11, 110.0
10, 135.0, 11, 110.0
11, 120.0, 11, 110.0
12, 95.0, 11, 110.0
11, 110.0, 11, 110.0
12, 85.0, 11, 110.0
11, 100.0, 12, 85.0
11, 100.0, 10, 125.0
10, 125.0, 12, 85.0
11, 110.0, 11, 100.0
11, 110.0, 10, 125.0
11, 110.0, 11, 110.0
11, 110.0, 12, 85.0
11, 110.0, 11, 100.0
11, 110.0, 10, 125.0
12, 85.0, 11, 110.0
10, 125.0, 12, 85.0
11, 110.0, 11, 100.0
11, 110.0, 10, 125.0
12, 85.0, 11, 110.0
10, 125.0, 12, 85.0
11, 110.0, 11, 100.0
11, 110.0, 11, 100.0
11, 110.0, 10, 125.0
11, 110.0, 11, 110.0
12, 85.0, 11, 110.0
11, 100.0, 11, 110.0
10, 125.0, 12, 85.0
11, 110.0, 11, 100.0
11, 110.0, 11, 100.0
11, 110.0, 10, 125.0
11, 110.0, 11, 110.0
11, 110.0, 12, 85.0
11, 110.0, 11, 100.0
12, 85.0, 10, 125.0
11, 100.0, 11, 110.0
11, 100.0, 11, 110.0
11, 100.0, 12, 85.0
10, 125.0, 11, 100.0
11, 110.0, 11, 100.0
12, 85.0, 11, 100.0
11, 100.0, 10, 125.0
11, 100.0, 11, 110.0
11, 100.0, 12, 85.0
10, 125.0, 11, 100.0
11, 110.0, 11, 100.0
11, 110.0, 11, 100.0
11, 110.0, 11, 100.0
11, 110.0, 10, 125.0
11, 110.0, 12, 85.0
11, 110.0, 11, 100.0
11, 110.0, 11, 100.0
11, 110.0, 11, 100.0
12, 85.0, 10, 125.0
11, 100.0, 11, 110.0
10, 125.0, 12, 85.0
11, 110.0, 11, 100.0
11, 110.0, 11, 100.0
11, 110.0, 11, 100.0
11, 110.0, 10, 125.0
11, 110.0, 11, 110.0
11, 110.0, 11, 110.0
11, 110.0, 11, 110.0
10, 135.0, 11, 110.0
11, 120.0, 11, 110.0
11, 120.0, 11, 110.0
11, 120.0, 12, 85.0
11, 120.0, 10, 125.0
11, 120.0, 11, 110.0
12, 95.0, 12, 85.0
10, 135.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 10, 125.0
11, 120.0, 11, 110.0
10, 145.0, 12, 85.0
11, 130.0, 11, 100.0
12, 105.0, 10, 125.0
11, 120.0, 11, 110.0
10, 145.0, 12, 85.0
11, 130.0, 11, 100.0
12, 105.0, 11, 100.0
11, 120.0, 10, 125.0
10, 145.0, 11, 110.0
11, 130.0, 11, 110.0
11, 130.0, 11, 110.0
11, 130.0, 12, 85.0
11, 130.0, 11, 100.0
11, 130.0, 10, 125.0
11, 130.0, 11, 110.0
12, 105.0, 11, 110.0
11, 120.0, 11, 110.0
10, 145.0, 12, 85.0
11, 130.0, 11, 100.0
11, 130.0, 11, 100.0
10, 155.0, 11, 100.0
12, 115.0, 12, 75.0
11, 130.0, 10, 115.0
12, 105.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
10, 145.0, 11, 100.0
11, 130.0, 11, 100.0
11, 130.0, 11, 100.0
12, 105.0, 11, 100.0
11, 120.0, 10, 125.0
11, 120.0, 11, 110.0
11, 120.0, 12, 85.0
10, 145.0, 11, 100.0
11, 130.0, 11, 100.0
11, 130.0, 11, 100.0
12, 105.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 10, 125.0
10, 145.0, 12, 85.0
12, 105.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 11, 100.0
10, 145.0, 11, 100.0
12, 105.0, 11, 100.0
11, 120.0, 11, 100.0
11, 120.0, 10, 125.0
11, 120.0, 12, 85.0
11, 120.0, 11, 100.0
11, 65.0, 11, 45.0
