left enc delta, left pid out, right enc delta, right enc out
0, 110.0, 0, 110.0
1, 255.0, 1, 255.0
8, 105.0, 8, 105.0
15, 0.0, 15, 0.0
13, 20.0, 13, 20.0
11, 80.0, 12, 30.0
11, 80.0, 10, 110.0
10, 130.0, 9, 180.0
10, 150.0, 11, 120.0
11, 120.0, 12, 70.0
12, 70.0, 12, 50.0
12, 50.0, 10, 130.0
10, 130.0, 11, 100.0
11, 100.0, 11, 100.0
10, 150.0, 10, 150.0
12, 70.0, 11, 120.0
11, 100.0, 12, 70.0
11, 100.0, 12, 50.0
11, 100.0, 10, 130.0
10, 150.0, 10, 150.0
12, 70.0, 12, 70.0
11, 100.0, 11, 100.0
11, 100.0, 11, 100.0
10, 150.0, 11, 100.0
11, 120.0, 10, 150.0
12, 70.0, 11, 120.0
12, 50.0, 12, 70.0
10, 130.0, 12, 50.0
10, 150.0, 11, 80.0
12, 70.0, 10, 130.0
11, 100.0, 10, 150.0
11, 100.0, 11, 120.0
11, 100.0, 12, 70.0
11, 100.0, 12, 50.0
11, 100.0, 11, 80.0
11, 100.0, 11, 80.0
10, 150.0, 9, 180.0
12, 70.0, 11, 120.0
11, 100.0, 12, 70.0
11, 100.0, 12, 50.0
11, 100.0, 11, 80.0
10, 150.0, 10, 130.0
12, 70.0, 10, 150.0
11, 100.0, 12, 70.0
11, 100.0, 12, 50.0
11, 100.0, 10, 130.0
11, 100.0, 11, 100.0
11, 100.0, 11, 100.0
10, 150.0, 11, 100.0
12, 70.0, 11, 100.0
11, 100.0, 10, 150.0
11, 100.0, 12, 70.0
11, 100.0, 12, 50.0
11, 100.0, 11, 80.0
10, 150.0, 10, 130.0
11, 120.0, 10, 150.0
12, 70.0, 12, 70.0
12, 50.0, 12, 50.0
10, 130.0, 10, 130.0
11, 100.0, 11, 100.0
11, 100.0, 11, 100.0
11, 100.0, 10, 150.0
10, 150.0, 11, 120.0
11, 120.0, 12, 70.0
12, 70.0, 12, 50.0
12, 50.0, 10, 130.0
11, 80.0, 11, 100.0
9, 180.0, 11, 100.0
11, 120.0, 10, 150.0
12, 70.0, 11, 120.0
12, 50.0, 12, 70.0
11, 80.0, 12, 50.0
10, 130.0, 11, 80.0
10, 150.0, 9, 180.0
12, 70.0, 11, 120.0
11, 100.0, 13, 20.0
11, 100.0, 11, 80.0
11, 100.0, 11, 80.0
11, 100.0, 10, 130.0
11, 100.0, 11, 100.0
10, 150.0, 10, 150.0
12, 70.0, 12, 70.0
11, 100.0, 11, 100.0
11, 100.0, 11, 100.0
11, 100.0, 11, 100.0
11, 100.0, 11, 100.0
10, 150.0, 10, 150.0
11, 120.0, 12, 70.0
12, 70.0, 11, 100.0
12, 50.0, 11, 100.0
11, 80.0, 11, 100.0
9, 180.0, 11, 100.0
11, 120.0, 11, 100.0
12, 70.0, 10, 150.0
12, 50.0, 12, 70.0
11, 80.0, 11, 100.0
10, 130.0, 11, 100.0
10, 150.0, 11, 100.0
11, 120.0, 10, 150.0
13, 20.0, 11, 120.0
11, 80.0, 12, 70.0
11, 80.0, 12, 50.0
10, 130.0, 10, 130.0
11, 100.0, 10, 150.0
11, 100.0, 11, 120.0
10, 150.0, 12, 70.0
12, 70.0, 11, 100.0
11, 100.0, 10, 150.0
11, 100.0, 11, 120.0
11, 100.0, 12, 70.0
11, 100.0, 10, 150.0
11, 100.0, 11, 120.0
11, 100.0, 11, 120.0
10, 150.0, 12, 70.0
11, 120.0, 10, 150.0
12, 70.0, 11, 120.0
12, 50.0, 11, 120.0
10, 130.0, 12, 70.0
11, 100.0, 10, 150.0
10, 150.0, 11, 120.0
12, 70.0, 12, 70.0
11, 100.0, 11, 100.0
11, 100.0, 10, 150.0
11, 100.0, 11, 120.0
10, 150.0, 11, 120.0
11, 120.0, 12, 70.0
12, 70.0, 11, 100.0
11, 100.0, 11, 100.0
11, 100.0, 10, 150.0
11, 100.0, 11, 120.0
10, 150.0, 12, 70.0
11, 120.0, 11, 100.0
12, 70.0, 11, 100.0
12, 50.0, 11, 100.0
10, 130.0, 10, 150.0
10, 150.0, 11, 120.0
12, 70.0, 11, 120.0
11, 100.0, 12, 70.0
11, 100.0, 12, 50.0
10, 150.0, 10, 130.0
11, 120.0, 10, 150.0
12, 70.0, 12, 70.0
11, 100.0, 11, 100.0
11, 100.0, 11, 100.0
11, 100.0, 10, 150.0
11, 100.0, 11, 120.0
10, 150.0, 12, 70.0
11, 120.0, 12, 50.0
12, 70.0, 10, 130.0
11, 0.0, 10, 40.0
