left enc cnt, left enc delta, left pid setpt, left pid out, right enc cnt, right enc delta, right pid setpt, right pid out
1735, 17, 18.140, 172.199, 1737, 19, 18.140, 122.199
1754, 18, 18.140, 158.599, 1755, 18, 18.140, 138.599
1772, 19, 18.140, 134.999, 1773, 18, 18.140, 139.999
1791, 18, 18.140, 151.399, 1790, 17, 18.140, 166.399
1809, 19, 18.140, 127.799, 1808, 18, 18.140, 152.799
1827, 18, 18.140, 144.199, 1827, 19, 18.140, 129.199
1845, 18, 18.140, 145.599, 1845, 18, 18.140, 145.599
1862, 17, 18.140, 171.999, 1863, 18, 18.140, 146.999
1880, 18, 18.140, 158.399, 1881, 18, 18.140, 148.399
1899, 19, 18.140, 134.799, 1899, 17, 18.140, 174.799
1917, 18, 18.140, 151.199, 1917, 19, 18.140, 136.199
1935, 18, 18.140, 152.599, 1935, 18, 18.140, 152.599
1954, 19, 18.140, 128.999, 1953, 18, 18.140, 153.999
1972, 18, 18.140, 145.399, 1972, 19, 18.140, 130.399
1990, 18, 18.140, 146.799, 1990, 18, 18.140, 146.799
2007, 17, 18.140, 173.199, 2007, 17, 18.140, 173.199
2026, 19, 18.140, 134.599, 2025, 18, 18.140, 159.599
2044, 18, 18.140, 150.999, 2044, 19, 18.140, 135.999
2062, 18, 18.140, 152.399, 2062, 18, 18.140, 152.399
2081, 19, 18.140, 128.799, 2080, 17, 18.140, 178.799
2099, 18, 18.140, 145.199, 2098, 19, 18.140, 140.199
2117, 18, 18.140, 146.599, 2116, 18, 18.140, 156.599
2135, 18, 18.140, 147.999, 2134, 18, 18.140, 157.999
2152, 17, 18.140, 174.399, 2153, 19, 18.140, 134.399
2170, 18, 18.140, 160.799, 2171, 18, 18.140, 150.799
2189, 19, 18.140, 137.199, 2188, 17, 18.140, 177.199
2207, 18, 18.140, 153.599, 2206, 18, 18.140, 163.599
2226, 19, 18.140, 129.999, 2225, 19, 18.140, 139.999
2244, 18, 18.140, 146.399, 2243, 18, 18.140, 156.399
2262, 18, 18.140, 147.799, 2261, 18, 18.140, 157.799
2280, 18, 18.140, 149.199, 2279, 18, 18.140, 159.199
2299, 19, 18.140, 125.599, 2297, 18, 18.140, 160.599
2317, 17, 18.140, 166.999, 2315, 18, 18.140, 161.999
2335, 19, 18.140, 128.399, 2333, 18, 18.140, 163.399
2353, 18, 18.140, 144.799, 2352, 19, 18.140, 139.799
2371, 18, 18.140, 146.199, 2370, 18, 18.140, 156.199
2389, 18, 18.140, 147.599, 2388, 18, 18.140, 157.599
2407, 18, 18.140, 148.999, 2406, 18, 18.140, 158.999
2425, 18, 18.140, 150.399, 2424, 17, 18.140, 185.399
2444, 19, 18.140, 126.799, 2442, 19, 18.140, 146.799
2461, 17, 18.140, 168.199, 2461, 18, 18.140, 163.199
2479, 18, 18.140, 154.599, 2479, 19, 18.140, 139.599
2498, 19, 18.140, 130.999, 2498, 19, 18.140, 130.999
2516, 18, 18.140, 147.399, 2516, 18, 18.140, 147.399
2535, 19, 18.140, 123.799, 2534, 18, 18.140, 148.799
2553, 18, 18.140, 140.199, 2552, 18, 18.140, 150.199
2571, 18, 18.140, 141.599, 2570, 18, 18.140, 151.599
2589, 18, 18.140, 142.999, 2588, 18, 18.140, 152.999
2607, 17, 18.140, 169.399, 2607, 19, 18.140, 129.399
2625, 19, 18.140, 130.799, 2625, 18, 18.140, 145.799
2643, 18, 18.140, 147.199, 2642, 17, 18.140, 172.199
2662, 19, 14.511, 87.319, 2661, 19, 14.511, 97.319
2680, 18, 10.883, 31.159, 2679, 18, 10.883, 41.159
2696, 16, 7.255, 0.0, 2696, 17, 7.255, 0.0
2711, 15, 3.627, 0.0, 2712, 15, 3.627, 0.0
2725, 14, 0.0, 0.0, 2725, 14, 0.0, 0.0
